raceId,year,round,name_race,date,circuitId,name_circuit
823,1952,7,Dutch Grand Prix,1952-08-17,39,Circuit Park Zandvoort
824,1952,8,Italian Grand Prix,1952-09-07,14,Autodromo Nazionale di Monza
825,1951,1,Swiss Grand Prix,1951-05-27,66,Circuit Bremgarten
826,1951,2,Indianapolis 500,1951-05-30,19,Indianapolis Motor Speedway
827,1951,3,Belgian Grand Prix,1951-06-17,13,Circuit de Spa-Francorchamps
828,1951,4,French Grand Prix,1951-07-01,55,Reims-Gueux
829,1951,5,British Grand Prix,1951-07-14,9,Silverstone Circuit
830,1951,6,German Grand Prix,1951-07-29,20,Nürburgring
831,1951,7,Italian Grand Prix,1951-09-16,14,Autodromo Nazionale di Monza
832,1951,8,Spanish Grand Prix,1951-10-28,67,Circuit de Pedralbes
833,1950,1,British Grand Prix,1950-05-13,9,Silverstone Circuit
834,1950,2,Monaco Grand Prix,1950-05-21,6,Circuit de Monaco
835,1950,3,Indianapolis 500,1950-05-30,19,Indianapolis Motor Speedway
836,1950,4,Swiss Grand Prix,1950-06-04,66,Circuit Bremgarten
837,1950,5,Belgian Grand Prix,1950-06-18,13,Circuit de Spa-Francorchamps
838,1950,6,French Grand Prix,1950-07-02,55,Reims-Gueux
839,1950,7,Italian Grand Prix,1950-09-03,14,Autodromo Nazionale di Monza
841,2011,1,Australian Grand Prix,2011-03-27,1,Albert Park Grand Prix Circuit
842,2011,2,Malaysian Grand Prix,2011-04-10,2,Sepang International Circuit
843,2011,3,Chinese Grand Prix,2011-04-17,17,Shanghai International Circuit
844,2011,4,Turkish Grand Prix,2011-05-08,5,Istanbul Park
845,2011,5,Spanish Grand Prix,2011-05-22,4,Circuit de Barcelona-Catalunya
846,2011,6,Monaco Grand Prix,2011-05-29,6,Circuit de Monaco
847,2011,7,Canadian Grand Prix,2011-06-12,7,Circuit Gilles Villeneuve
848,2011,8,European Grand Prix,2011-06-26,12,Valencia Street Circuit
849,2011,9,British Grand Prix,2011-07-10,9,Silverstone Circuit
850,2011,10,German Grand Prix,2011-07-24,20,Nürburgring
851,2011,11,Hungarian Grand Prix,2011-07-31,11,Hungaroring
852,2011,12,Belgian Grand Prix,2011-08-28,13,Circuit de Spa-Francorchamps
853,2011,13,Italian Grand Prix,2011-09-11,14,Autodromo Nazionale di Monza
854,2011,14,Singapore Grand Prix,2011-09-25,15,Marina Bay Street Circuit
855,2011,15,Japanese Grand Prix,2011-10-09,22,Suzuka Circuit
856,2011,16,Korean Grand Prix,2011-10-16,35,Korean International Circuit
857,2011,17,Indian Grand Prix,2011-10-30,68,Buddh International Circuit
858,2011,18,Abu Dhabi Grand Prix,2011-11-13,24,Yas Marina Circuit
859,2011,19,Brazilian Grand Prix,2011-11-27,18,Autódromo José Carlos Pace
860,2012,1,Australian Grand Prix,2012-03-18,1,Albert Park Grand Prix Circuit
861,2012,2,Malaysian Grand Prix,2012-03-25,2,Sepang International Circuit
862,2012,3,Chinese Grand Prix,2012-04-15,17,Shanghai International Circuit
863,2012,4,Bahrain Grand Prix,2012-04-22,3,Bahrain International Circuit
864,2012,5,Spanish Grand Prix,2012-05-13,4,Circuit de Barcelona-Catalunya
865,2012,6,Monaco Grand Prix,2012-05-27,6,Circuit de Monaco
866,2012,7,Canadian Grand Prix,2012-06-10,7,Circuit Gilles Villeneuve
867,2012,8,European Grand Prix,2012-06-24,12,Valencia Street Circuit
868,2012,9,British Grand Prix,2012-07-08,9,Silverstone Circuit
869,2012,10,German Grand Prix,2012-07-22,10,Hockenheimring
870,2012,11,Hungarian Grand Prix,2012-07-29,11,Hungaroring
871,2012,12,Belgian Grand Prix,2012-09-02,13,Circuit de Spa-Francorchamps
872,2012,13,Italian Grand Prix,2012-09-09,14,Autodromo Nazionale di Monza
873,2012,14,Singapore Grand Prix,2012-09-23,15,Marina Bay Street Circuit
874,2012,15,Japanese Grand Prix,2012-10-07,22,Suzuka Circuit
875,2012,16,Korean Grand Prix,2012-10-14,35,Korean International Circuit
876,2012,17,Indian Grand Prix,2012-10-28,68,Buddh International Circuit
877,2012,18,Abu Dhabi Grand Prix,2012-11-04,24,Yas Marina Circuit
878,2012,19,United States Grand Prix,2012-11-18,69,Circuit of the Americas
879,2012,20,Brazilian Grand Prix,2012-11-25,18,Autódromo José Carlos Pace
880,2013,1,Australian Grand Prix,2013-03-17,1,Albert Park Grand Prix Circuit
881,2013,2,Malaysian Grand Prix,2013-03-24,2,Sepang International Circuit
882,2013,3,Chinese Grand Prix,2013-04-14,17,Shanghai International Circuit
883,2013,4,Bahrain Grand Prix,2013-04-21,3,Bahrain International Circuit
884,2013,5,Spanish Grand Prix,2013-05-12,4,Circuit de Barcelona-Catalunya
885,2013,6,Monaco Grand Prix,2013-05-26,6,Circuit de Monaco
886,2013,7,Canadian Grand Prix,2013-06-09,7,Circuit Gilles Villeneuve
887,2013,8,British Grand Prix,2013-06-30,9,Silverstone Circuit
888,2013,9,German Grand Prix,2013-07-07,20,Nürburgring
890,2013,10,Hungarian Grand Prix,2013-07-28,11,Hungaroring
891,2013,11,Belgian Grand Prix,2013-08-25,13,Circuit de Spa-Francorchamps
892,2013,12,Italian Grand Prix,2013-09-08,14,Autodromo Nazionale di Monza
893,2013,13,Singapore Grand Prix,2013-09-22,15,Marina Bay Street Circuit
894,2013,14,Korean Grand Prix,2013-10-06,35,Korean International Circuit
895,2013,15,Japanese Grand Prix,2013-10-13,22,Suzuka Circuit
896,2013,16,Indian Grand Prix,2013-10-27,68,Buddh International Circuit
897,2013,17,Abu Dhabi Grand Prix,2013-11-03,24,Yas Marina Circuit
898,2013,18,United States Grand Prix,2013-11-17,69,Circuit of the Americas
899,2013,19,Brazilian Grand Prix,2013-11-24,18,Autódromo José Carlos Pace
900,2014,1,Australian Grand Prix,2014-03-16,1,Albert Park Grand Prix Circuit
901,2014,2,Malaysian Grand Prix,2014-03-30,2,Sepang International Circuit
902,2014,3,Bahrain Grand Prix,2014-04-06,3,Bahrain International Circuit
903,2014,4,Chinese Grand Prix,2014-04-20,17,Shanghai International Circuit
904,2014,5,Spanish Grand Prix,2014-05-11,4,Circuit de Barcelona-Catalunya
905,2014,6,Monaco Grand Prix,2014-05-25,6,Circuit de Monaco
906,2014,7,Canadian Grand Prix,2014-06-08,7,Circuit Gilles Villeneuve
907,2014,8,Austrian Grand Prix,2014-06-22,70,Red Bull Ring
908,2014,9,British Grand Prix,2014-07-06,9,Silverstone Circuit
909,2014,10,German Grand Prix,2014-07-20,10,Hockenheimring
910,2014,11,Hungarian Grand Prix,2014-07-27,11,Hungaroring
911,2014,12,Belgian Grand Prix,2014-08-24,13,Circuit de Spa-Francorchamps
912,2014,13,Italian Grand Prix,2014-09-07,14,Autodromo Nazionale di Monza
913,2014,14,Singapore Grand Prix,2014-09-21,15,Marina Bay Street Circuit
914,2014,15,Japanese Grand Prix,2014-10-05,22,Suzuka Circuit
915,2014,16,Russian Grand Prix,2014-10-12,71,Sochi Autodrom
916,2014,17,United States Grand Prix,2014-11-02,69,Circuit of the Americas
917,2014,18,Brazilian Grand Prix,2014-11-09,18,Autódromo José Carlos Pace
918,2014,19,Abu Dhabi Grand Prix,2014-11-23,24,Yas Marina Circuit
931,2015,6,Monaco Grand Prix,2015-05-24,6,Circuit de Monaco
932,2015,7,Canadian Grand Prix,2015-06-07,7,Circuit Gilles Villeneuve
929,2015,4,Bahrain Grand Prix,2015-04-19,3,Bahrain International Circuit
930,2015,5,Spanish Grand Prix,2015-05-10,4,Circuit de Barcelona-Catalunya
928,2015,3,Chinese Grand Prix,2015-04-12,17,Shanghai International Circuit
926,2015,1,Australian Grand Prix,2015-03-15,1,Albert Park Grand Prix Circuit
927,2015,2,Malaysian Grand Prix,2015-03-29,2,Sepang International Circuit
933,2015,8,Austrian Grand Prix,2015-06-21,70,Red Bull Ring
934,2015,9,British Grand Prix,2015-07-05,9,Silverstone Circuit
936,2015,10,Hungarian Grand Prix,2015-07-26,11,Hungaroring
937,2015,11,Belgian Grand Prix,2015-08-23,13,Circuit de Spa-Francorchamps
938,2015,12,Italian Grand Prix,2015-09-06,14,Autodromo Nazionale di Monza
939,2015,13,Singapore Grand Prix,2015-09-20,15,Marina Bay Street Circuit
940,2015,14,Japanese Grand Prix,2015-09-27,22,Suzuka Circuit
941,2015,15,Russian Grand Prix,2015-10-11,71,Sochi Autodrom
942,2015,16,United States Grand Prix,2015-10-25,69,Circuit of the Americas
943,2015,17,Mexican Grand Prix,2015-11-01,32,Autódromo Hermanos Rodríguez
944,2015,18,Brazilian Grand Prix,2015-11-15,18,Autódromo José Carlos Pace
945,2015,19,Abu Dhabi Grand Prix,2015-11-29,24,Yas Marina Circuit
948,2016,1,Australian Grand Prix,2016-03-20,1,Albert Park Grand Prix Circuit
949,2016,2,Bahrain Grand Prix,2016-04-03,3,Bahrain International Circuit
950,2016,3,Chinese Grand Prix,2016-04-17,17,Shanghai International Circuit
951,2016,4,Russian Grand Prix,2016-05-01,71,Sochi Autodrom
952,2016,5,Spanish Grand Prix,2016-05-15,4,Circuit de Barcelona-Catalunya
953,2016,6,Monaco Grand Prix,2016-05-29,6,Circuit de Monaco
954,2016,7,Canadian Grand Prix,2016-06-12,7,Circuit Gilles Villeneuve
955,2016,8,European Grand Prix,2016-06-19,73,Baku City Circuit
956,2016,9,Austrian Grand Prix,2016-07-03,70,Red Bull Ring
957,2016,10,British Grand Prix,2016-07-10,9,Silverstone Circuit
958,2016,11,Hungarian Grand Prix,2016-07-24,11,Hungaroring
959,2016,12,German Grand Prix,2016-07-31,10,Hockenheimring
960,2016,13,Belgian Grand Prix,2016-08-28,13,Circuit de Spa-Francorchamps
961,2016,14,Italian Grand Prix,2016-09-04,14,Autodromo Nazionale di Monza
962,2016,15,Singapore Grand Prix,2016-09-18,15,Marina Bay Street Circuit
963,2016,16,Malaysian Grand Prix,2016-10-02,2,Sepang International Circuit
964,2016,17,Japanese Grand Prix,2016-10-09,22,Suzuka Circuit
965,2016,18,United States Grand Prix,2016-10-23,69,Circuit of the Americas
966,2016,19,Mexican Grand Prix,2016-10-30,32,Autódromo Hermanos Rodríguez
967,2016,20,Brazilian Grand Prix,2016-11-13,18,Autódromo José Carlos Pace
968,2016,21,Abu Dhabi Grand Prix,2016-11-27,24,Yas Marina Circuit
969,2017,1,Australian Grand Prix,2017-03-26,1,Albert Park Grand Prix Circuit
970,2017,2,Chinese Grand Prix,2017-04-09,17,Shanghai International Circuit
971,2017,3,Bahrain Grand Prix,2017-04-16,3,Bahrain International Circuit
972,2017,4,Russian Grand Prix,2017-04-30,71,Sochi Autodrom
973,2017,5,Spanish Grand Prix,2017-05-14,4,Circuit de Barcelona-Catalunya
974,2017,6,Monaco Grand Prix,2017-05-28,6,Circuit de Monaco
975,2017,7,Canadian Grand Prix,2017-06-11,7,Circuit Gilles Villeneuve
976,2017,8,Azerbaijan Grand Prix,2017-06-25,73,Baku City Circuit
977,2017,9,Austrian Grand Prix,2017-07-09,70,Red Bull Ring
978,2017,10,British Grand Prix,2017-07-16,9,Silverstone Circuit
979,2017,11,Hungarian Grand Prix,2017-07-30,11,Hungaroring
980,2017,12,Belgian Grand Prix,2017-08-27,13,Circuit de Spa-Francorchamps
981,2017,13,Italian Grand Prix,2017-09-03,14,Autodromo Nazionale di Monza
982,2017,14,Singapore Grand Prix,2017-09-17,15,Marina Bay Street Circuit
983,2017,15,Malaysian Grand Prix,2017-10-01,2,Sepang International Circuit
984,2017,16,Japanese Grand Prix,2017-10-08,22,Suzuka Circuit
985,2017,17,United States Grand Prix,2017-10-22,69,Circuit of the Americas
986,2017,18,Mexican Grand Prix,2017-10-29,32,Autódromo Hermanos Rodríguez
987,2017,19,Brazilian Grand Prix,2017-11-12,18,Autódromo José Carlos Pace
988,2017,20,Abu Dhabi Grand Prix,2017-11-26,24,Yas Marina Circuit
989,2018,1,Australian Grand Prix,2018-03-25,1,Albert Park Grand Prix Circuit
990,2018,2,Bahrain Grand Prix,2018-04-08,3,Bahrain International Circuit
991,2018,3,Chinese Grand Prix,2018-04-15,17,Shanghai International Circuit
992,2018,4,Azerbaijan Grand Prix,2018-04-29,73,Baku City Circuit
993,2018,5,Spanish Grand Prix,2018-05-13,4,Circuit de Barcelona-Catalunya
994,2018,6,Monaco Grand Prix,2018-05-27,6,Circuit de Monaco
995,2018,7,Canadian Grand Prix,2018-06-10,7,Circuit Gilles Villeneuve
996,2018,8,French Grand Prix,2018-06-24,34,Circuit Paul Ricard
997,2018,9,Austrian Grand Prix,2018-07-01,70,Red Bull Ring
998,2018,10,British Grand Prix,2018-07-08,9,Silverstone Circuit
999,2018,11,German Grand Prix,2018-07-22,10,Hockenheimring
1000,2018,12,Hungarian Grand Prix,2018-07-29,11,Hungaroring
1001,2018,13,Belgian Grand Prix,2018-08-26,13,Circuit de Spa-Francorchamps
1002,2018,14,Italian Grand Prix,2018-09-02,14,Autodromo Nazionale di Monza
1003,2018,15,Singapore Grand Prix,2018-09-16,15,Marina Bay Street Circuit
1004,2018,16,Russian Grand Prix,2018-09-30,71,Sochi Autodrom
1005,2018,17,Japanese Grand Prix,2018-10-07,22,Suzuka Circuit
1006,2018,18,United States Grand Prix,2018-10-21,69,Circuit of the Americas
1007,2018,19,Mexican Grand Prix,2018-10-28,32,Autódromo Hermanos Rodríguez
1008,2018,20,Brazilian Grand Prix,2018-11-11,18,Autódromo José Carlos Pace
1009,2018,21,Abu Dhabi Grand Prix,2018-11-25,24,Yas Marina Circuit
1010,2019,1,Australian Grand Prix,2019-03-17,1,Albert Park Grand Prix Circuit
1011,2019,2,Bahrain Grand Prix,2019-03-31,3,Bahrain International Circuit
1012,2019,3,Chinese Grand Prix,2019-04-14,17,Shanghai International Circuit
1013,2019,4,Azerbaijan Grand Prix,2019-04-28,73,Baku City Circuit
1014,2019,5,Spanish Grand Prix,2019-05-12,4,Circuit de Barcelona-Catalunya
1015,2019,6,Monaco Grand Prix,2019-05-26,6,Circuit de Monaco
1016,2019,7,Canadian Grand Prix,2019-06-09,7,Circuit Gilles Villeneuve
1017,2019,8,French Grand Prix,2019-06-23,34,Circuit Paul Ricard
1018,2019,9,Austrian Grand Prix,2019-06-30,70,Red Bull Ring
1019,2019,10,British Grand Prix,2019-07-14,9,Silverstone Circuit
1020,2019,11,German Grand Prix,2019-07-28,10,Hockenheimring
1021,2019,12,Hungarian Grand Prix,2019-08-04,11,Hungaroring
1022,2019,13,Belgian Grand Prix,2019-09-01,13,Circuit de Spa-Francorchamps
1023,2019,14,Italian Grand Prix,2019-09-08,14,Autodromo Nazionale di Monza
1024,2019,15,Singapore Grand Prix,2019-09-22,15,Marina Bay Street Circuit
1025,2019,16,Russian Grand Prix,2019-09-29,71,Sochi Autodrom
1026,2019,17,Japanese Grand Prix,2019-10-13,22,Suzuka Circuit
1027,2019,18,Mexican Grand Prix,2019-10-27,32,Autódromo Hermanos Rodríguez
1028,2019,19,United States Grand Prix,2019-11-03,69,Circuit of the Americas
1029,2019,20,Brazilian Grand Prix,2019-11-17,18,Autódromo José Carlos Pace
1030,2019,21,Abu Dhabi Grand Prix,2019-12-01,24,Yas Marina Circuit
1031,2020,1,Austrian Grand Prix,2020-07-05,70,Red Bull Ring
1032,2020,2,Styrian Grand Prix,2020-07-12,70,Red Bull Ring
1033,2020,3,Hungarian Grand Prix,2020-07-19,11,Hungaroring
1034,2020,4,British Grand Prix,2020-08-02,9,Silverstone Circuit
1035,2020,5,70th Anniversary Grand Prix,2020-08-09,9,Silverstone Circuit
1036,2020,6,Spanish Grand Prix,2020-08-16,4,Circuit de Barcelona-Catalunya
1037,2020,7,Belgian Grand Prix,2020-08-30,13,Circuit de Spa-Francorchamps
1038,2020,8,Italian Grand Prix,2020-09-06,14,Autodromo Nazionale di Monza
1039,2020,9,Tuscan Grand Prix,2020-09-13,76,Autodromo Internazionale del Mugello
1040,2020,10,Russian Grand Prix,2020-09-27,71,Sochi Autodrom
1041,2020,11,Eifel Grand Prix,2020-10-11,20,Nürburgring
1042,2020,12,Portuguese Grand Prix,2020-10-25,75,Autódromo Internacional do Algarve
1043,2020,13,Emilia Romagna Grand Prix,2020-11-01,21,Autodromo Enzo e Dino Ferrari
1044,2020,14,Turkish Grand Prix,2020-11-15,5,Istanbul Park
1045,2020,15,Bahrain Grand Prix,2020-11-29,3,Bahrain International Circuit
1046,2020,16,Sakhir Grand Prix,2020-12-06,3,Bahrain International Circuit
1047,2020,17,Abu Dhabi Grand Prix,2020-12-13,24,Yas Marina Circuit
1053,2021,2,Emilia Romagna Grand Prix,2021-04-18,21,Autodromo Enzo e Dino Ferrari
1074,2022,1,Bahrain Grand Prix,2022-03-20,3,Bahrain International Circuit
1052,2021,1,Bahrain Grand Prix,2021-03-28,3,Bahrain International Circuit
1051,2021,20,Qatar Grand Prix,2021-11-21,78,Losail International Circuit
1054,2021,3,Portuguese Grand Prix,2021-05-02,75,Autódromo Internacional do Algarve
1055,2021,4,Spanish Grand Prix,2021-05-09,4,Circuit de Barcelona-Catalunya
1056,2021,5,Monaco Grand Prix,2021-05-23,6,Circuit de Monaco
1057,2021,6,Azerbaijan Grand Prix,2021-06-06,73,Baku City Circuit
1058,2021,8,Styrian Grand Prix,2021-06-27,70,Red Bull Ring
1059,2021,7,French Grand Prix,2021-06-20,34,Circuit Paul Ricard
1060,2021,9,Austrian Grand Prix,2021-07-04,70,Red Bull Ring
1061,2021,10,British Grand Prix,2021-07-18,9,Silverstone Circuit
1062,2021,11,Hungarian Grand Prix,2021-08-01,11,Hungaroring
1063,2021,12,Belgian Grand Prix,2021-08-29,13,Circuit de Spa-Francorchamps
1064,2021,13,Dutch Grand Prix,2021-09-05,39,Circuit Park Zandvoort
1065,2021,14,Italian Grand Prix,2021-09-12,14,Autodromo Nazionale di Monza
1066,2021,15,Russian Grand Prix,2021-09-26,71,Sochi Autodrom
1067,2021,16,Turkish Grand Prix,2021-10-10,5,Istanbul Park
1069,2021,17,United States Grand Prix,2021-10-24,69,Circuit of the Americas
1070,2021,18,Mexico City Grand Prix,2021-11-07,32,Autódromo Hermanos Rodríguez
1071,2021,19,São Paulo Grand Prix,2021-11-14,18,Autódromo José Carlos Pace
1072,2021,21,Saudi Arabian Grand Prix,2021-12-05,77,Jeddah Corniche Circuit
1073,2021,22,Abu Dhabi Grand Prix,2021-12-12,24,Yas Marina Circuit
1075,2022,2,Saudi Arabian Grand Prix,2022-03-27,77,Jeddah Corniche Circuit
1076,2022,3,Australian Grand Prix,2022-04-10,1,Albert Park Grand Prix Circuit
1077,2022,4,Emilia Romagna Grand Prix,2022-04-24,21,Autodromo Enzo e Dino Ferrari
1078,2022,5,Miami Grand Prix,2022-05-08,79,Miami International Autodrome
1079,2022,6,Spanish Grand Prix,2022-05-22,4,Circuit de Barcelona-Catalunya
1080,2022,7,Monaco Grand Prix,2022-05-29,6,Circuit de Monaco
1081,2022,8,Azerbaijan Grand Prix,2022-06-12,73,Baku City Circuit
1082,2022,9,Canadian Grand Prix,2022-06-19,7,Circuit Gilles Villeneuve
1083,2022,10,British Grand Prix,2022-07-03,9,Silverstone Circuit
1084,2022,11,Austrian Grand Prix,2022-07-10,70,Red Bull Ring
1085,2022,12,French Grand Prix,2022-07-24,34,Circuit Paul Ricard
1086,2022,13,Hungarian Grand Prix,2022-07-31,11,Hungaroring
1087,2022,14,Belgian Grand Prix,2022-08-28,13,Circuit de Spa-Francorchamps
1088,2022,15,Dutch Grand Prix,2022-09-04,39,Circuit Park Zandvoort
1089,2022,16,Italian Grand Prix,2022-09-11,14,Autodromo Nazionale di Monza
1091,2022,17,Singapore Grand Prix,2022-10-02,15,Marina Bay Street Circuit
1092,2022,18,Japanese Grand Prix,2022-10-09,22,Suzuka Circuit
1093,2022,19,United States Grand Prix,2022-10-23,69,Circuit of the Americas
1094,2022,20,Mexico City Grand Prix,2022-10-30,32,Autódromo Hermanos Rodríguez
1095,2022,21,Brazilian Grand Prix,2022-11-13,18,Autódromo José Carlos Pace
1096,2022,22,Abu Dhabi Grand Prix,2022-11-20,24,Yas Marina Circuit
1098,2023,1,Bahrain Grand Prix,2023-03-05,3,Bahrain International Circuit
1099,2023,2,Saudi Arabian Grand Prix,2023-03-19,77,Jeddah Corniche Circuit
1100,2023,3,Australian Grand Prix,2023-04-02,1,Albert Park Grand Prix Circuit
1101,2023,4,Azerbaijan Grand Prix,2023-04-30,73,Baku City Circuit
1102,2023,5,Miami Grand Prix,2023-05-07,79,Miami International Autodrome
1103,2023,6,Emilia Romagna Grand Prix,2023-05-21,21,Autodromo Enzo e Dino Ferrari
1104,2023,7,Monaco Grand Prix,2023-05-28,6,Circuit de Monaco
1105,2023,8,Spanish Grand Prix,2023-06-04,4,Circuit de Barcelona-Catalunya
1106,2023,9,Canadian Grand Prix,2023-06-18,7,Circuit Gilles Villeneuve
1107,2023,10,Austrian Grand Prix,2023-07-02,70,Red Bull Ring
1108,2023,11,British Grand Prix,2023-07-09,9,Silverstone Circuit
1109,2023,12,Hungarian Grand Prix,2023-07-23,11,Hungaroring
1110,2023,13,Belgian Grand Prix,2023-07-30,13,Circuit de Spa-Francorchamps
1111,2023,14,Dutch Grand Prix,2023-08-27,39,Circuit Park Zandvoort
1112,2023,15,Italian Grand Prix,2023-09-03,14,Autodromo Nazionale di Monza
1113,2023,16,Singapore Grand Prix,2023-09-17,15,Marina Bay Street Circuit
1114,2023,17,Japanese Grand Prix,2023-09-24,22,Suzuka Circuit
1115,2023,18,Qatar Grand Prix,2023-10-08,78,Losail International Circuit
1116,2023,19,United States Grand Prix,2023-10-22,69,Circuit of the Americas
1117,2023,20,Mexico City Grand Prix,2023-10-29,32,Autódromo Hermanos Rodríguez
1118,2023,21,São Paulo Grand Prix,2023-11-05,18,Autódromo José Carlos Pace
1119,2023,22,Las Vegas Grand Prix,2023-11-19,80,Las Vegas Strip Street Circuit
1120,2023,23,Abu Dhabi Grand Prix,2023-11-26,24,Yas Marina Circuit
